Count,Username,Text,Created At,Retweets,Likes,Sentiment
1,Abrar Sabbah,Presidential Election Results Map : Trump Wins 2024 Elections “ want stop wars ” Trump Says Trump : ” Ben başkan iken Orta Doğu ’ da savaş yoktu ” dedi.NTV # donaldtrump # usa # Trump # unitedstates # america # elections # president # vote # america # president,Wed Nov 06 19:38:36 +0000 2024,0,0,Neutral
2,Cory Legendre,"🏳️ # KamalaHarris called # DonaldTrump discussed peaceful transfer power January . May find things share common put aside differences , hate division . # America # Election2024 # ElectionDay # ElectionNight # elections # USA # Trump",Wed Nov 06 19:29:49 +0000 2024,0,3,Neutral
3,M.G.,"6/11/24 : # November New Start # netanyahu Calling # Trump Certifying # Elections Results . , Test : # DonaldTrump Spine & amp ; # Sovereignty , Able Stop # MiddleEast # War netanyahu Control # USA America # RegionalWar",Wed Nov 06 18:59:25 +0000 2024,0,0,Neutral
4,RTR,"becomes 47th president United States America , Donald Trump . elections meeting Marella Romanians living USA . think election ? # elections # one # trump",Wed Nov 06 17:35:53 +0000 2024,0,0,Neutral
5,Mohammad Asad,king 's horses & amp ; king 's men could stop winning # election # vote # politics # trump # news # elections # usa # congress # maga # republican # donaldtrump # electionday # america # democracy # president # voting # government # conservative # republicans,Wed Nov 06 17:28:04 +0000 2024,0,2,Neutral
6,Dhanraj Padghane,Modi ji call best friend Doland Trump winning elections 🙂 # DonaldTrump2024 # DonaldTrump # DonaldTrumpPresident # USAElection2024 # USA # Trump2024 # Trump2024Vance # Modi # America # ElonMusk2024,Wed Nov 06 17:06:37 +0000 2024,0,1,Positive
7,Dharmenda963,# Trump Victory America President Elections History shows Never Ever Lady President USA . FACTOR CHOOSE DONALD TRUMP PRESIDENT USA .,Wed Nov 06 15:31:55 +0000 2024,0,0,Positive
8,Dan mendez,"Congratulations victory . many countries following elections America closely , hope Donald Trump peaceful era return USA , benefit countries .",Wed Nov 06 14:47:40 +0000 2024,0,1,Positive
9,Anand Shreekar,"USA 🇺🇸 : Elections 2024 victory common man & amp ; woman , blue collar workers , truckers , small business owners ; black & amp ; white & amp ; brown , men & amp ; women , rich & amp ; poor billionaire Mr Donald Trump listened heart beats America 🇺🇸 , sacrificed",Wed Nov 06 14:47:03 +0000 2024,1,0,Positive
10,78 Crickets,Donald Trump Elections margin . President USA 🇺🇸🔥 # electionday2024 # USAElection2024 # USElections2024 # USA2024 # America # ElonMusk # Trump2024 # Trump2024Vance,Wed Nov 06 14:13:46 +0000 2024,1,1,Positive
11,YallaMexico,"6/11/24 : # November New Start # netanyahu Calling # Trump Certifying # Elections Results . , Test : # DonaldTrump Spine & amp ; # Sovereignty , Able Stop # MiddleEast # War netanyahu Control # USA America # RegionalWar",Wed Nov 06 14:04:43 +0000 2024,0,0,Neutral
12,Donald News HD,Donald Trump elected 47th president United States . let 's make America great speech # donaldtrump # trump2024 # elections # democrat # republican # president # usa🇺🇸 # trump,Wed Nov 06 14:00:51 +0000 2024,0,0,Positive
13,JENNATI Baraka America,JENNATI message Congratulations president USA NEW Donald Trump JENNATI message Thank Kamala Harris JENNATI message Thank everyone people USA Elections president USA NEW USA NEW,Wed Nov 06 13:55:11 +0000 2024,1,0,Positive
14,Vinaykumar Pandey,Congratulations Mr Donald Trump winning US election returning 47th president United States America . Hope India USA work strengthening relations leadership . # Us elections # donaltrump # PMO # USA2024,Wed Nov 06 13:50:23 +0000 2024,0,1,Positive
15,Katiso Mokone,Congratulations Donald trump winning USA elections . MAKE AMERICA GREAT .,Wed Nov 06 12:24:14 +0000 2024,0,0,Positive
16,Siki,Trump Balije ! ! ! # trump2024 # donaldtrump # elections # balije # bosna # bosnia # USA # America # UnitedStates # bosnaihercegovina # bosniaandherzegovina # Republicans # worldpeace # savegaza # savepalestine # palestine # russia # ukraine # slaughter # killing,Wed Nov 06 12:06:03 +0000 2024,0,1,Neutral
17,Siki,Trump election ! ! ! # trump2024 # donaldtrump # elections # balije # bosna # bosnia # USA # America # UnitedStates # bosnaihercegovina # bosniaandherzegovina # Republicans # worldpeace # savegaza # savepalestine # palestine # russia # ukraine # slaughter # killing,Wed Nov 06 12:05:08 +0000 2024,0,1,Neutral
18,Siki,Trump ! ! ! # trump2024 # donaldtrump # elections # balije # bosna # bosnia # USA # America # UnitedStates # bosnaihercegovina # bosniaandherzegovina # Republicans # worldpeace # savegaza # savepalestine # palestine # russia # ukraine,Wed Nov 06 12:03:01 +0000 2024,0,1,Neutral
19,"Sanjeeb Kumar Sahoo, Journalist By Birth.","Final Results # USA 🇺🇸 Presidential Elections 2024 : close race Donald Trump # KamalaHarris , democracy , voters gods . USA # voters elected # DonaldTrump 47th President United States America ( # USA ) 🇺🇸 . side , voters",Wed Nov 06 11:35:46 +0000 2024,3,4,Neutral
20,"Sanjeeb Kumar Sahoo, Journalist By Birth.","Final Results # USA 🇺🇸 Presidential Elections 2024 : close race Donald Trump # KamalaHarris , democracy , voters gods . USA # voters elected # DonaldTrump 47th President United States America ( # USA ) 🇺🇸 . side , voters",Wed Nov 06 11:30:36 +0000 2024,2,3,Neutral
